,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,691970000000.0,387360000000.0,59050000000.0,-259560000000.0,
Repayment Of Debt,-308810000000.0,-317550000000.0,-350550000000.0,-290590000000.0,
Issuance Of Debt,388710000000.0,263780000000.0,696100000000.0,359360000000.0,
Issuance Of Capital Stock,0.0,220000000.0,70000000.0,400000000.0,
Capital Expenditure,-1229160000000.0,-1399670000000.0,-1528830000000.0,-1409880000000.0,
End Cash Position,1459770000000.0,1065020000000.0,972250000000.0,686640000000.0,
Other Cash Adjustment Outside Changein Cash,,,7200000000.0,-17660000000.0,9410000000.0
Beginning Cash Position,1065020000000.0,972250000000.0,686640000000.0,361780000000.0,
Changes In Cash,394750000000.0,92770000000.0,285610000000.0,342520000000.0,
Financing Cash Flow,-515490000000.0,-318910000000.0,-166460000000.0,104550000000.0,
Net Other Financing Charges,,,198300000000.0,4790000000.0,4500000000.0
Interest Paid Cff,-399810000000.0,-410240000000.0,-371730000000.0,-216500000000.0,
Cash Dividends Paid,-74430000000.0,-67660000000.0,-60890000000.0,-50830000000.0,
Net Common Stock Issuance,0.0,220000000.0,70000000.0,400000000.0,
Common Stock Issuance,0.0,220000000.0,70000000.0,400000000.0,
Net Issuance Payments Of Debt,28190000000.0,192470000000.0,92620000000.0,380750000000.0,
Net Short Term Debt Issuance,-51710000000.0,246240000000.0,-252930000000.0,311980000000.0,
Net Long Term Debt Issuance,79900000000.0,-53770000000.0,345550000000.0,68770000000.0,
Long Term Debt Payments,-308810000000.0,-317550000000.0,-350550000000.0,-290590000000.0,
Long Term Debt Issuance,388710000000.0,263780000000.0,696100000000.0,359360000000.0,
Investing Cash Flow,-1010890000000.0,-1375350000000.0,-1135810000000.0,-912350000000.0,
Net Other Investing Changes,-47360000000.0,-45740000000.0,-44230000000.0,,-193060000000.0
Interest Received Cfi,135380000000.0,158330000000.0,106480000000.0,111030000000.0,
Dividends Received Cfi,91000000000.0,6120000000.0,750000000.0,200000000.0,
Net Investment Purchase And Sale,30990000000.0,-117820000000.0,176950000000.0,294440000000.0,
Sale Of Investment,9918760000000.0,6725580000000.0,5313550000000.0,5012660000000.0,
Purchase Of Investment,-9887770000000.0,-6843400000000.0,-5136600000000.0,-4718220000000.0,
Net PPE Purchase And Sale,8260000000.0,23430000000.0,153070000000.0,91860000000.0,
Sale Of PPE,8260000000.0,23430000000.0,153070000000.0,91860000000.0,
Purchase Of PPE,,,,,-1001450000000.0
Capital Expenditure Reported,-1229160000000.0,-1399670000000.0,-1528830000000.0,-1409880000000.0,
Operating Cash Flow,1921130000000.0,1787030000000.0,1587880000000.0,1150320000000.0,
Taxes Refund Paid,-96080000000.0,-119250000000.0,-119610000000.0,-62970000000.0,
Change In Working Capital,124970000000.0,237240000000.0,63660000000.0,-196340000000.0,
Change In Payable,866090000000.0,384270000000.0,347960000000.0,-6000000000.0,
Change In Inventory,-207900000000.0,31340000000.0,-127560000000.0,-322280000000.0,
Change In Receivables,-533220000000.0,-178370000000.0,-156740000000.0,131940000000.0,
Other Non Cash Items,109710000000.0,100010000000.0,111900000000.0,79580000000.0,
Provisionand Write Offof Assets,,,,0.0,360000000.0
Deferred Tax,,,,,0.0
Depreciation And Amortization,576880000000.0,531360000000.0,508320000000.0,403030000000.0,
Depreciation,576880000000.0,531360000000.0,508320000000.0,403030000000.0,
Gain Loss On Investment Securities,-120460000000.0,-20610000000.0,-20100000000.0,11760000000.0,
Net Foreign Currency Exchange Gain Loss,93060000000.0,-3240000000.0,-1470000000.0,-31910000000.0,
Gain Loss On Sale Of PPE,1430000000.0,1350000000.0,1780000000.0,-600000000.0,
Gain Loss On Sale Of Business,,,,0.0,-28720000000.0
Net Income From Continuing Operations,1231620000000.0,1060170000000.0,1043400000000.0,948010000000.0,
